Code,variable,value
3662,Non_sch_quals_PostGrad_Dgre_M,20
3663,Non_sch_quals_PostGrad_Dgre_M,0
3664,Non_sch_quals_PostGrad_Dgre_M,9
3666,Non_sch_quals_PostGrad_Dgre_M,26
3669,Non_sch_quals_PostGrad_Dgre_M,10
3670,Non_sch_quals_PostGrad_Dgre_M,6
3672,Non_sch_quals_PostGrad_Dgre_M,53
3673,Non_sch_quals_PostGrad_Dgre_M,15
3675,Non_sch_quals_PostGrad_Dgre_M,5
3677,Non_sch_quals_PostGrad_Dgre_M,75
3678,Non_sch_quals_PostGrad_Dgre_M,41
3682,Non_sch_quals_PostGrad_Dgre_M,3
3683,Non_sch_quals_PostGrad_Dgre_M,10
3685,Non_sch_quals_PostGrad_Dgre_M,14
3687,Non_sch_quals_PostGrad_Dgre_M,0
3688,Non_sch_quals_PostGrad_Dgre_M,5
3690,Non_sch_quals_PostGrad_Dgre_M,151
3691,Non_sch_quals_PostGrad_Dgre_M,49
3694,Non_sch_quals_PostGrad_Dgre_M,3
3695,Non_sch_quals_PostGrad_Dgre_M,3
3697,Non_sch_quals_PostGrad_Dgre_M,9
3698,Non_sch_quals_PostGrad_Dgre_M,6
3699,Non_sch_quals_PostGrad_Dgre_M,7
3700,Non_sch_quals_PostGrad_Dgre_M,5
3701,Non_sch_quals_PostGrad_Dgre_M,0
3705,Non_sch_quals_PostGrad_Dgre_M,4
3707,Non_sch_quals_PostGrad_Dgre_M,3
3709,Non_sch_quals_PostGrad_Dgre_M,0
3711,Non_sch_quals_PostGrad_Dgre_M,3
3712,Non_sch_quals_PostGrad_Dgre_M,0
3713,Non_sch_quals_PostGrad_Dgre_M,4
3714,Non_sch_quals_PostGrad_Dgre_M,15
3715,Non_sch_quals_PostGrad_Dgre_M,5
3717,Non_sch_quals_PostGrad_Dgre_M,17
3719,Non_sch_quals_PostGrad_Dgre_M,0
3720,Non_sch_quals_PostGrad_Dgre_M,0
3722,Non_sch_quals_PostGrad_Dgre_M,16
3723,Non_sch_quals_PostGrad_Dgre_M,39
3725,Non_sch_quals_PostGrad_Dgre_M,0
3726,Non_sch_quals_PostGrad_Dgre_M,7
3727,Non_sch_quals_PostGrad_Dgre_M,0
3728,Non_sch_quals_PostGrad_Dgre_M,0
3730,Non_sch_quals_PostGrad_Dgre_M,19
3732,Non_sch_quals_PostGrad_Dgre_M,0
3733,Non_sch_quals_PostGrad_Dgre_M,3
3735,Non_sch_quals_PostGrad_Dgre_M,0
3737,Non_sch_quals_PostGrad_Dgre_M,9
3739,Non_sch_quals_PostGrad_Dgre_M,0
3740,Non_sch_quals_PostGrad_Dgre_M,4
3741,Non_sch_quals_PostGrad_Dgre_M,30
3744,Non_sch_quals_PostGrad_Dgre_M,0
3746,Non_sch_quals_PostGrad_Dgre_M,0
3747,Non_sch_quals_PostGrad_Dgre_M,70
3749,Non_sch_quals_PostGrad_Dgre_M,25
3750,Non_sch_quals_PostGrad_Dgre_M,5
3751,Non_sch_quals_PostGrad_Dgre_M,3
3752,Non_sch_quals_PostGrad_Dgre_M,220
3753,Non_sch_quals_PostGrad_Dgre_M,6
3754,Non_sch_quals_PostGrad_Dgre_M,139
3755,Non_sch_quals_PostGrad_Dgre_M,3
3756,Non_sch_quals_PostGrad_Dgre_M,50
3757,Non_sch_quals_PostGrad_Dgre_M,38
3758,Non_sch_quals_PostGrad_Dgre_M,9
3759,Non_sch_quals_PostGrad_Dgre_M,16
3760,Non_sch_quals_PostGrad_Dgre_M,6
